Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,62.369999,63.459999,50.459999,53.020000,53.020000,32802400
2020-03-02,53.509998,63.389999,51.549999,58.560001,58.560001,50997100
2020-03-09,53.939999,63.970001,51.869999,63.570000,63.570000,42897400
2020-03-16,56.770000,58.520000,43.959999,48.849998,48.849998,37368000
2020-03-23,47.970001,58.610001,44.810001,55.099998,55.099998,33105100
2020-03-30,55.240002,59.910000,53.830002,54.599998,54.599998,24080700
2020-04-06,56.990002,68.629997,56.369999,66.419998,66.419998,21490600
2020-04-13,65.919998,74.699997,63.820000,71.290001,71.290001,26057400
2020-04-20,70.360001,70.750000,65.779999,70.580002,70.580002,20318000
2020-04-27,71.379997,72.449997,63.790001,64.970001,64.970001,26791100
2020-05-04,64.919998,68.680000,63.860001,65.879997,65.879997,12997400
2020-05-11,65.389999,69.000000,63.840000,68.699997,68.699997,17811400
2020-05-18,69.500000,70.620003,64.150002,64.839996,64.839996,15654400
2020-05-25,66.050003,67.839996,62.369999,66.250000,66.250000,15664400
2020-06-01,66.040001,67.230003,63.340000,65.110001,65.110001,17323300
2020-06-08,64.360001,67.260002,59.650002,61.939999,61.939999,21776000
2020-06-15,60.430000,65.360001,59.540001,64.220001,64.220001,20292600
2020-06-22,63.869999,64.440002,59.580002,59.750000,59.750000,40177000
2020-06-29,59.849998,67.629997,59.570000,66.519997,66.519997,19060000
2020-07-06,67.529999,67.550003,62.180000,62.840000,62.840000,14072300
2020-07-13,63.000000,66.930000,62.930000,66.269997,66.269997,13541400
2020-07-20,66.430000,68.449997,64.389999,67.510002,67.510002,13468200
2020-07-27,66.809998,67.360001,63.830002,65.250000,65.250000,18715200
2020-08-03,65.650002,65.919998,62.310001,64.279999,64.279999,14273000
2020-08-10,64.379997,65.339996,62.720001,64.639999,64.639999,12338600
2020-08-17,64.540001,64.989998,61.910000,62.470001,62.470001,11070800
2020-08-24,62.799999,62.799999,58.369999,60.480000,60.480000,16828400
2020-08-31,60.380001,62.779999,58.560001,59.669998,59.669998,14484300
2020-09-07,59.340000,59.470001,55.669998,56.439999,56.439999,11606400
2020-09-14,56.700001,61.340000,56.700001,61.130001,61.130001,18831200
2020-09-21,58.000000,58.029999,53.599998,55.410000,55.410000,28194600
2020-09-28,56.209999,60.910000,55.240002,59.980000,59.980000,18539700
2020-10-05,60.490002,65.260002,60.279999,64.199997,64.199997,15329400
2020-10-12,64.690002,66.849998,63.889999,66.209999,66.209999,12755400
2020-10-19,66.300003,68.639999,65.209999,67.419998,67.419998,9485500
2020-10-26,66.669998,67.010002,58.189999,59.099998,59.099998,19713400
2020-11-02,60.020000,68.300003,59.840000,67.930000,67.930000,30145700
2020-11-09,69.849998,72.309998,67.849998,69.050003,69.050003,20384900
2020-11-16,69.849998,69.849998,62.230000,62.959999,62.959999,14524100
2020-11-23,63.250000,65.139999,61.900002,63.169998,63.169998,12234900
2020-11-30,63.279999,64.610001,61.419998,64.599998,64.599998,16235100
2020-12-07,64.269997,65.550003,59.970001,60.709999,60.709999,18591900
2020-12-14,61.400002,62.400002,59.529999,61.150002,61.150002,26378600
2020-12-21,59.750000,60.060001,57.560001,58.020000,58.020000,17025300
2020-12-28,58.320000,60.450001,57.910000,60.029999,60.029999,9104600
2021-01-04,60.610001,70.260002,59.910000,68.209999,68.209999,29185700
2021-01-11,66.849998,69.820000,63.509998,63.990002,63.990002,14295900
2021-01-18,64.599998,64.839996,61.480000,61.509998,61.509998,15040000
2021-01-25,61.369999,62.160000,57.799999,60.299999,60.299999,20077500
2021-02-01,60.250000,61.200001,58.570000,58.880001,58.880001,15636600
2021-02-08,59.169998,62.330002,57.770000,59.200001,59.200001,22214000
2021-02-15,59.400002,59.509998,57.709999,57.970001,57.970001,13644800
2021-02-22,57.500000,60.270000,57.160000,58.540001,58.540001,17966700
2021-03-01,59.009998,60.680000,58.369999,60.520000,60.520000,18116200
2021-03-08,60.959999,62.990002,60.220001,62.900002,62.900002,15793100
2021-03-15,63.000000,65.180000,61.259998,64.239998,64.239998,16554800
2021-03-22,63.590000,65.279999,63.009998,64.860001,64.860001,12743200
2021-03-29,64.790001,66.320000,62.380001,63.250000,63.250000,12173600
2021-04-05,63.840000,64.610001,61.299999,62.610001,62.610001,16542400
2021-04-12,62.750000,65.150002,61.709999,64.959999,64.959999,16295000
2021-04-19,64.989998,66.120003,63.869999,65.370003,65.370003,12364800
2021-04-26,65.500000,66.680000,59.330002,61.740002,61.740002,34742700
2021-05-03,61.450001,70.510002,61.450001,70.449997,70.449997,30947300
2021-05-10,70.110001,71.040001,67.660004,69.199997,69.199997,23580500
2021-05-17,69.309998,73.959999,69.199997,73.730003,73.730003,29145400
2021-05-24,73.959999,74.519997,73.180000,73.599998,73.599998,21342200
2021-05-31,73.870003,74.099998,71.129997,71.440002,71.440002,13734400
2021-06-07,71.769997,72.290001,70.370003,70.809998,70.809998,15673200
2021-06-14,70.580002,75.250000,68.459999,71.690002,71.690002,33205300
2021-06-21,71.860001,74.320000,71.290001,73.900002,73.900002,16275600
2021-06-28,73.639999,74.809998,72.449997,73.879997,73.879997,14198300
2021-07-05,73.639999,74.209999,72.019997,73.510002,73.510002,9216300
2021-07-12,73.239998,75.589996,72.540001,72.660004,72.660004,14030700
2021-07-19,72.169998,73.870003,70.760002,73.459999,73.459999,16176700
2021-07-26,73.169998,73.440002,68.250000,68.610001,68.610001,20584700
2021-08-02,68.620003,70.459999,65.449997,66.800003,66.800003,22317300
2021-08-09,66.750000,67.050003,62.380001,63.070000,63.070000,19298800
2021-08-16,62.840000,65.769997,62.410000,64.309998,64.309998,13471700
2021-08-23,64.769997,65.089996,63.330002,63.980000,63.980000,11153300
2021-08-30,63.889999,64.860001,62.150002,64.370003,64.370003,12861900
2021-09-06,64.110001,64.360001,59.669998,59.730000,59.730000,10642700
2021-09-13,59.980000,65.050003,59.840000,64.639999,64.639999,27400300
2021-09-20,64.040001,64.910004,61.980000,62.820000,62.820000,15514200
2021-09-27,63.160000,64.910004,61.240002,63.049999,63.049999,14834800
2021-10-04,63.250000,64.620003,60.810001,64.330002,64.330002,14838000
2021-10-11,64.139999,65.550003,61.209999,65.320000,65.320000,16466500
2021-10-18,65.110001,69.610001,63.990002,69.239998,69.239998,18816300
2021-10-25,69.029999,72.820000,67.790001,71.239998,71.239998,29665700
2021-11-01,70.389999,74.919998,68.449997,74.169998,74.169998,24965400
2021-11-08,74.139999,76.169998,73.419998,75.860001,75.860001,12906500
2021-11-15,75.680000,77.650002,72.629997,73.010002,73.010002,23589800
2021-11-22,72.989998,76.260002,72.419998,73.900002,73.900002,10575000
2021-11-29,73.830002,74.260002,69.510002,71.050003,71.050003,18270900
2021-12-06,72.000000,79.739998,71.690002,78.449997,78.449997,27373800
2021-12-13,78.900002,84.750000,77.419998,83.019997,83.019997,36273600
2021-12-20,82.230003,85.440002,80.949997,84.720001,84.720001,13460000
2021-12-27,84.959999,85.199997,82.360001,82.400002,82.400002,11559100
2022-01-03,83.139999,83.139999,75.150002,76.339996,76.339996,20657900
2022-01-10,76.690002,80.760002,75.589996,80.550003,80.550003,19118400
2022-01-17,79.860001,80.209999,76.889999,77.139999,77.139999,13611500
2022-01-24,76.459999,77.879997,74.470001,77.269997,77.269997,17425800
2022-01-31,76.820000,82.589996,76.029999,80.570000,80.570000,17103800
2022-02-07,80.660004,86.809998,80.089996,83.320000,83.320000,13630700
2022-02-14,83.320000,84.550003,81.540001,82.059998,82.059998,9613100
2022-02-21,82.349998,83.650002,79.129997,83.519997,83.519997,7867600
2022-02-28,81.489998,86.160004,80.889999,86.050003,86.050003,10593500
2022-03-07,85.839996,86.239998,81.339996,83.410004,83.410004,12783800
2022-03-14,84.599998,88.279999,83.449997,87.739998,87.739998,15166100
2022-03-21,87.639999,88.610001,82.410004,85.589996,85.589996,15882800
2022-03-28,86.239998,86.610001,84.160004,85.510002,85.510002,13517200
2022-04-04,85.370003,89.790001,83.690002,88.480003,88.480003,12914900
2022-04-11,89.059998,89.059998,85.300003,86.540001,86.540001,7445900
2022-04-18,86.570000,89.919998,84.260002,84.410004,84.410004,9875800
2022-04-25,84.129997,86.019997,80.169998,80.550003,80.550003,17565300
2022-05-02,80.989998,85.930000,78.129997,84.029999,84.029999,15559100
2022-05-09,83.269997,84.459999,78.660004,82.320000,82.320000,15517600
2022-05-16,83.080002,85.980003,80.580002,84.959999,84.959999,12836600
2022-05-23,85.629997,87.339996,81.010002,84.410004,84.410004,16474100
2022-05-30,83.919998,84.059998,79.889999,81.970001,81.970001,11918500
2022-06-06,82.790001,83.709999,77.660004,79.510002,79.510002,7896800
2022-06-13,77.989998,79.300003,74.860001,76.320000,76.320000,19179000
2022-06-20,78.190002,84.279999,77.940002,82.949997,82.949997,15870600
2022-06-27,83.250000,86.980003,82.790001,86.209999,86.209999,12480600
2022-07-04,85.120003,88.769997,81.750000,88.010002,88.010002,11877500
2022-07-11,87.150002,89.839996,84.150002,89.660004,89.660004,13530100
2022-07-18,89.849998,91.620003,88.010002,90.940002,90.940002,14499100
2022-07-25,91.199997,94.580002,91.040001,92.970001,92.970001,15502300
2022-08-01,93.150002,94.250000,91.320000,93.050003,93.050003,11697700
2022-08-08,93.250000,96.800003,92.949997,96.639999,96.639999,10834800
2022-08-15,96.139999,98.529999,94.389999,96.900002,96.900002,11374000
2022-08-22,96.040001,96.980003,89.099998,89.940002,89.940002,15027100
2022-08-29,89.269997,92.690002,87.160004,90.050003,90.050003,19406600
2022-09-05,89.339996,92.750000,87.389999,91.989998,91.989998,12489100
2022-09-12,92.389999,93.580002,82.099998,84.279999,84.279999,33691500
2022-09-19,83.839996,84.980003,76.970001,78.709999,78.709999,28192000
2022-09-26,78.050003,79.529999,76.610001,77.809998,77.809998,18064600
2022-10-03,78.440002,81.489998,74.070000,74.820000,74.820000,20334600
2022-10-10,75.110001,76.290001,73.190002,74.300003,74.300003,19326900
2022-10-17,75.010002,77.260002,73.540001,73.849998,73.849998,14870200
2022-10-24,74.720001,86.610001,74.720001,85.800003,85.800003,21614100
2022-10-31,85.309998,86.620003,80.830002,81.730003,81.730003,14570900
2022-11-07,82.379997,85.959999,79.480003,82.070000,82.070000,20380100
2022-11-14,82.000000,83.370003,79.010002,82.680000,82.680000,18647300
2022-11-21,82.580002,85.190002,81.680000,84.860001,84.860001,10808700
2022-11-28,84.860001,87.839996,83.809998,85.790001,85.790001,21307400
2022-12-05,85.290001,87.790001,85.099998,86.250000,86.250000,11018000
2022-12-12,86.540001,87.190002,79.760002,81.400002,81.400002,22696800
2022-12-19,81.099998,82.959999,79.389999,81.629997,81.629997,14811200
2022-12-26,81.949997,82.809998,81.129997,82.010002,82.010002,7709600
2023-01-02,82.000000,83.610001,76.709999,78.660004,78.660004,21588300
2023-01-09,78.889999,79.980003,75.540001,77.040001,77.040001,16924200
2023-01-16,77.440002,78.349998,74.970001,76.150002,76.150002,11862000
2023-01-23,76.389999,77.389999,74.769997,75.250000,75.250000,15747500
2023-01-30,75.370003,77.389999,70.800003,71.010002,71.010002,28073200
2023-02-06,71.190002,73.919998,68.730003,72.739998,72.739998,27798600
2023-02-13,72.989998,74.440002,72.120003,73.360001,73.360001,18924700
2023-02-20,73.120003,73.419998,70.129997,70.279999,70.279999,12114500
2023-02-27,70.879997,70.970001,67.419998,69.070000,69.070000,16546800
2023-03-06,69.029999,69.820000,64.820000,65.099998,65.099998,17164000
2023-03-13,64.800003,65.870003,61.820000,62.549999,62.549999,23683300
2023-03-20,62.950001,65.629997,61.709999,64.050003,64.050003,19439900
2023-03-27,64.809998,65.309998,62.720001,63.209999,63.209999,19031500
2023-04-03,64.610001,66.709999,63.810001,66.019997,66.019997,16232100
2023-04-10,65.809998,69.639999,65.599998,68.070000,68.070000,19321500
2023-04-17,68.010002,69.080002,65.279999,65.989998,65.989998,15951100
2023-04-24,66.220001,70.669998,65.720001,68.930000,68.930000,21209800
2023-05-01,68.910004,69.419998,66.760002,68.389999,68.389999,12612800
2023-05-08,68.190002,68.800003,66.330002,67.169998,67.169998,10782800
2023-05-15,67.419998,67.470001,64.970001,65.400002,65.400002,12556100
2023-05-22,65.330002,65.769997,62.580002,62.720001,62.720001,14037800
2023-05-29,61.990002,66.680000,61.340000,66.459999,66.459999,18460900
2023-06-05,66.820000,69.269997,65.839996,69.000000,69.000000,15372200
2023-06-12,68.839996,69.820000,63.040001,65.660004,65.660004,21823200
2023-06-19,65.400002,67.070000,64.989998,66.330002,66.330002,11798900
2023-06-26,66.300003,67.949997,65.379997,67.449997,67.449997,12712900
2023-07-03,67.120003,67.809998,66.410004,66.500000,66.500000,9635700
2023-07-10,66.610001,67.889999,63.549999,65.629997,65.629997,20074500
2023-07-17,65.500000,71.660004,65.019997,70.629997,70.629997,18935500
2023-07-24,70.510002,71.080002,64.930000,66.180000,66.180000,18823600
2023-07-31,66.260002,68.830002,65.510002,65.800003,65.800003,21163000
2023-08-07,66.139999,67.209999,65.050003,65.760002,65.760002,12445300
2023-08-14,65.629997,67.269997,62.939999,63.700001,63.700001,13676100
2023-08-21,63.860001,64.620003,62.919998,63.480000,63.480000,11497800
2023-08-28,63.970001,64.529999,60.830002,61.270000,61.270000,15766100
2023-09-04,61.410000,67.129997,61.310001,65.410004,65.410004,19413500
2023-09-11,65.639999,69.169998,65.129997,67.809998,67.809998,22347000
2023-09-18,68.120003,69.989998,67.199997,68.680000,68.680000,15285600
2023-09-25,68.849998,70.970001,68.699997,68.879997,68.879997,16534900
2023-10-02,68.669998,70.519997,67.629997,70.209999,70.209999,12609800
2023-10-09,69.790001,72.940002,69.790001,71.070000,71.070000,12276700
2023-10-16,71.459999,73.470001,71.000000,71.889999,71.889999,14030800
2023-10-23,71.730003,72.849998,67.209999,67.480003,67.480003,17928200
2023-10-30,67.610001,70.099998,67.050003,69.320000,69.320000,15325300
2023-11-06,69.489998,72.510002,68.989998,71.870003,71.870003,17328700
2023-11-13,71.959999,74.180000,71.629997,72.610001,72.610001,12385900
2023-11-20,72.510002,74.580002,72.180000,74.360001,74.360001,6746100
2023-11-27,74.400002,74.970001,68.150002,74.879997,74.879997,21733300
2023-12-04,74.839996,75.309998,73.410004,73.769997,73.769997,12643000
2023-12-11,74.029999,77.830002,72.860001,74.220001,74.220001,25843400
2023-12-18,74.489998,75.250000,72.050003,73.339996,73.339996,16536100
2023-12-25,73.169998,74.580002,72.949997,74.209999,74.209999,9059600
2024-01-01,75.000000,77.919998,75.000000,77.379997,77.379997,13145000
2024-01-08,77.589996,79.830002,75.320000,78.809998,78.809998,14136700
2024-01-15,79.139999,79.559998,74.120003,74.150002,74.150002,12441000
2024-01-22,74.540001,77.290001,71.809998,73.769997,73.769997,16630700
2024-01-29,73.510002,75.879997,73.279999,75.410004,75.410004,12246800
2024-02-05,75.300003,77.360001,71.480003,77.330002,77.330002,18444300
2024-02-12,77.190002,78.459999,76.489998,78.300003,78.300003,8720000
2024-02-16,77.730003,79.000000,78.070000,78.709999,78.709999,617376
